 mean_spb1 mean_nuc1 prob1 mean_spb2 mean_nuc2 prob2 mean_spb3 mean_nuc3 prob3 mean_spb4 mean_nuc4 prob4 mean_spb5 mean_nuc5 prob5 mean_spb6 mean_nuc6 prob6 mean_spb7 mean_nuc7 prob7 mean_spb8 mean_nuc8 prob8 mean_spb9 mean_nuc9 prob9 mean_spb10 mean_nuc10 prob10
1137 1.2747764255899126 1.547302203337574 0.16913234706117553 1.4340533547457417 2.3545971906603764 0.3350659736105558 1.4304937445186463 1.8569859650835392 0.47381047580967617 1.1853653985345676 2.145922501130581 0.6025589764094362 1.2535225506654366 0.8292402624824838 0.6997201119552179 1.1820493953704958 1.214148142892944 0.795281887245102 1.0882869413340899 1.8608567371939797 0.890843662534986 0.971155430217087 1.6042757240562715 0.9548180727708917 1.6944478820606157 1.3423268288847754 1.0 0.0 0.0 0.0
1146 1.3346919086216988 2.2911927042348257 0.1853720050441362 1.37128791788272 1.8553063200135511 0.3505674653215637 1.1347249261196737 1.993406797354484 0.5100882723833544 1.2646172172328576 1.4548168712111578 0.6450189155107189 1.606846697290444 1.36249927517809 0.7459016393442623 1.3267284885507935 0.7831891659354713 0.8379571248423708 1.0012718213616882 1.6142007321388985 0.9296973518284994 1.072702222404468 1.1847551707355024 1.0 0.0 0.0 0.0 0.0 0.0 0.0
1170 1.43726523880927 2.0325656094099016 0.2137704918032787 1.2676048956062724 2.26298343205077 0.379672131147541 1.3691639731389684 1.731269287936401 0.5318032786885246 1.113229866489163 1.9326873572461745 0.6819672131147541 1.0162319639710242 1.5942215977747054 0.7980327868852458 1.431316671958048 1.376919578470686 0.8983606557377048 1.0094551749092602 1.2171073277193094 0.9514754098360655 1.3349281847204082 1.0070494231359242 1.0 0.0 0.0 0.0 0.0 0.0 0.0
1242 0.9960872916131992 1.545987446815128 0.16757741347905283 1.342653861322958 1.6457522489239356 0.3304189435336976 1.211342977680394 2.0357445177524065 0.4761384335154827 1.2222480330629442 1.297517696191566 0.609471766848816 1.5691553587503084 1.3574708849443935 0.7347905282331512 0.9755219693857796 1.1314765466840784 0.8306010928961749 1.6904539683329964 1.9692725974421799 0.9162112932604736 1.368044492147919 0.8957912246984238 1.0 0.0 0.0 0.0 0.0 0.0 0.0
1262 1.681124933451588 1.1996827191965618 0.19592163134746102 1.2975724970790878 1.1497429743335394 0.39104358256697325 1.4771387949493233 1.5186642028961146 0.5725709716113555 1.5670333764524706 0.8525550636275033 0.6953218712514995 0.9641465541847194 1.1049203481917518 0.8124750099960016 1.1538780356878746 0.8009152836984825 0.9208316673330668 1.0619221466082982 1.5198109888853533 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1280 1.303393950885143 1.2442440872814322 0.16687683900798655 1.3350625228803286 1.5976971405929898 0.29970575872215216 1.6077614647710865 1.415574248691302 0.4312736443883985 1.2096173652664608 1.9048369938132144 0.5485498108448928 0.9937161464967648 1.5313333307068262 0.6532156368221942 1.6533542117079223 0.9566767302939186 0.7511559478772594 1.153927326956312 0.8961589234675426 0.8469945355191257 0.9834522233671124 1.215546878601956 0.9327448507776377 1.6275102087402888 1.8798403755009525 1.0 0.0 0.0 0.0
1320 1.182808532494122 1.3700699485735226 0.16856735566642908 1.4311911308598948 1.4264447804324227 0.3004276550249465 1.3794230476221987 1.1283023995115575 0.4262295081967213 1.2161999868331566 1.7146680943226955 0.5513186029935851 1.140260285099369 0.9964082774795956 0.6585887384176764 1.6718533409155942 1.2398854151344356 0.7576621525302922 1.6219330682923374 1.589453186955627 0.8399857448325018 1.572507618431734 0.9891503572239838 0.9180327868852459 1.392849100588751 0.7422642309854844 0.9711332858161084 0.8740695684076297 1.286798777996574 1.0
1342 1.300611761130536 1.1958144424602313 0.2569672131147541 1.0199073533173928 0.9908102527547884 0.42172131147540987 1.5411721351888326 1.422433501664293 0.5532786885245902 1.614605315182526 1.0504602744243872 0.6663934426229509 1.308640864620481 0.7845544098559635 0.7778688524590165 0.9681826126229972 1.4059424343397178 0.889344262295082 1.2720550235578487 1.6007923702538551 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1359 1.174097125107647 1.10790912107967 0.14910226385636222 1.4403601102853252 1.0014141818969389 0.2861046057767369 1.6335760076966197 1.2375425713633403 0.4102263856362217 1.1600217638244386 0.8091943980473638 0.5335675253708041 0.9260738118381758 1.0739577259392197 0.654176424668228 1.0654076815292848 1.4180324026147657 0.7646370023419204 1.3167552705730627 1.2797908765077652 0.8719750195160032 1.4074880687219489 1.5694580431984118 0.9383294301327089 1.5164719070832158 0.7034759550620783 1.0 0.0 0.0 0.0
1370 1.5808008984596165 0.959313228967924 0.22174288179465057 1.2835854637156057 0.9751839205151609 0.39473684210526316 1.327654452363359 1.2005144096595382 0.5552200172562554 1.6340628019653127 1.3328166703276387 0.7118205349439172 1.0865402826579302 0.903256281345137 0.8175150992234685 1.3399752693399247 0.7410427350488872 0.9210526315789473 1.0132657710648405 1.2678072740279382 0.9611734253666954 1.2690043669681277 1.530252582748464 1.0 0.0 0.0 0.0 0.0 0.0 0.0
